fingerprint,llm_score,llm_label,is_relevant,model,prompt_version
0034088ffb63a3e9f3ed9957675043d8cc08605309f5aff9722b4dbca133dd94,-0.7,負向,true,codex,sentiment-v1
0034d4f6713c326e98f044855007d26562f90e51786c6fa219e06f3deac3e7f0,,中性,false,codex,sentiment-v1
00350f330d7cea0c0b84397a9d2779c242ac4744493fa06e0c6f806f5bfb5b8d,0.0,中性,true,codex,sentiment-v1
00355dc2fcb2cff0db05765a61982deb869a7b5014dec19fbba9ed8248b6d724,,中性,false,codex,sentiment-v1
00360eff28a689021962beeb38f95274613935619b1909074069671f479fe46e,0.5,正向,true,codex,sentiment-v1
0037233567f30dabf636e2dc8b0a82ed6b42edd4e79f153dd556581ff2f10255,,中性,false,codex,sentiment-v1
003ad1fc1719efa2dd46430414c13874ab500706ecd62628efe3c19675ab4b21,-0.5,負向,true,codex,sentiment-v1
003b79af483dd90cbacb1b915307287326e5c32391b7b994bf030e636da298c8,,中性,false,codex,sentiment-v1
003bc4b60658e30834785dca9892dad0a1a06f41f515eb605e09c4099b873e12,0.8,正向,true,codex,sentiment-v1
003cfbe49ad38cb2ff2f058f4ef9c81fe621a112a77036b02466e5c6a898d9ab,-0.3,負向,true,codex,sentiment-v1
003f4f6d10b08c7ff0f7fc593c12b09deeea9e225c2b18ac8f9b1393b4776fc6,0.8,正向,true,codex,sentiment-v1
0045a8c25864d4bfd2b20241c35a954a02245b969a71a3a57057380b42e84ae7,,中性,false,codex,sentiment-v1
004611b3cba2e4f4c2c3163cc2059ea07c9c6cb2a54dffd8d722040afdb4c9b9,0.9,正向,true,codex,sentiment-v1
00464f46e7afc414a563e46530397e579b1b84ce6f50d90b1534ba893d7937af,0.6,正向,true,codex,sentiment-v1
004751548956a4bb44ae8b06ef682d1adf036362557267dd0bc1ee7a3927ded0,,中性,false,codex,sentiment-v1
0047ade07515cb40aa2e2e83eff9546e45bff8bd153310f870fa75a328ec4f6a,0.8,正向,true,codex,sentiment-v1
0048390d4a2befaf6482291e28fd14a90bea53816e9003a860c52eeb200b8567,0.6,正向,true,codex,sentiment-v1
004a0c8a0b31583a7412551014ccd1beb89431837166df18ccbd454463eadef0,0.4,正向,true,codex,sentiment-v1
004a1af419e0f3235fabd8f43fdb8dbaf2c626382a43e9c3ab31498039cc8b79,-0.5,負向,true,codex,sentiment-v1
004b4d6d2951f85e7598b8f148530b5b8c6f152c90afe738604b6134a9e9f9a4,,中性,false,codex,sentiment-v1
004b881c215f5e8033d8a3b824926c324f4361f5e65e337601ea3e4cc8c8e37b,-0.3,負向,true,codex,sentiment-v1
005270bf02725c9884b84df13c363fdf006172c494020887f0c813bcce2c2544,-0.3,負向,true,codex,sentiment-v1
005348d3cdcaf09860f032321d5e7239953fad852ecad5559539e1078b961b08,,中性,false,codex,sentiment-v1
0054b359900e3ef699c1d4a4144f279b95296f069cfc230e4c94240caa66ad46,-0.7,負向,true,codex,sentiment-v1
00599fbfe13210ed46e87789d872799630a409650b95bcf08bf88f1afad9dd3a,0.7,正向,true,codex,sentiment-v1
005b49cb9cc0e5348f9724e060965650a3e3030b33166f4f265ddea905eeb0cd,,中性,false,codex,sentiment-v1
005e0df7182503dddf37ff7d97e7af827bd5aeedd60ae48fbe3b185aab23da4a,0.8,正向,true,codex,sentiment-v1
0063ed75f97e93198d70a622db8a56a633813d5e26328a660b300afbec8b572c,-0.5,負向,true,codex,sentiment-v1
0064e601106312efc314986fe5669eda603a482893aaceef7453f03cfe051265,,中性,false,codex,sentiment-v1
006557eab9296e3e75187a6a0a5c90f2d4bd61950145b50b4a12054fd19a27ae,-0.4,負向,true,codex,sentiment-v1
006632e6c03a5050fc7dc6fafc1998d4c6fab826db0dbf5bb4f5ad18846843e9,0.3,正向,true,codex,sentiment-v1
0066a95ab222ffa64f14e92452d21d1e487cb5fc730dd7fd1ebb60d05e0a6964,,中性,false,codex,sentiment-v1
0069a58126c2714ae343c1ac8f6746c0ea118c43586cbe492a2045d9351e5e4d,,中性,false,codex,sentiment-v1
006a6151b90bbf41d793f5017f80c7627ddbafa0cf32164026ee0d0fed9988ca,-0.3,負向,true,codex,sentiment-v1
006b15a376028339fe434d28931c453c05db4731a393b0f4e6e183ad011d6472,-0.7,負向,true,codex,sentiment-v1
006d832e47d43b5115b029e13133f540898a40d7cbcb62842cfa6b42d1ac4a84,0.7,正向,true,codex,sentiment-v1
0070c88d61b30e235a3a772763142ee4239ce124298e4c79b26859a117fe13f3,0.6,正向,true,codex,sentiment-v1
00733ff6be6714320bcbc67b4940688526a52dc3a2cf7c2ac6f4364a7b18ecbc,-0.8,負向,true,codex,sentiment-v1
007aaccdceaccb179e6cbe99ce9eb2293307cdc932926022550b761a4c750bbe,0.5,正向,true,codex,sentiment-v1
007be2bd1d47b505c1b480c367cf8f335c18d8a58ff1cd526ff19900ca32de52,0.7,正向,true,codex,sentiment-v1
007febb281543446b4bbe531215693b880490222e209a9859c8f1a6a9a91589e,-0.4,負向,true,codex,sentiment-v1
0080599af9232fbbb714652be1679493d0352cb2736d4e00e56558d64a52b294,-0.3,負向,true,codex,sentiment-v1
00831f6a65c37dd63d8a7bcc1a3dc4e28e6c5f6f1d3495d8cdca859c343daea2,-0.6,負向,true,codex,sentiment-v1
00837c4f3a670caff65896feb55e5f83eaffb3ca154c2edb9a504c5c0e030aac,,中性,false,codex,sentiment-v1
008524caff808455544c0738155dd419485c4bed0d25ff8b5df898831fd2a754,-0.3,負向,true,codex,sentiment-v1
00855c3ed021690ba344211852d2d6821d500cb9d33d2523dbb37ba1fa5086e9,0.3,正向,true,codex,sentiment-v1
0085ea051bdd291fb315666ae4a4e27ccfd28d6351cabf1e19d29aa868c6ab3c,-0.5,負向,true,codex,sentiment-v1
00866a4129294d2e9269e54a08dca3b2abf4fe437e0f7731425e17992db4d3f4,-0.6,負向,true,codex,sentiment-v1
008c807616bc20382864a0729e2d9531713ae5f48732e032de3280dfbfc52266,-0.4,負向,true,codex,sentiment-v1
008cff65c55080b703a981aaf856ca1b75bd4917d16e6672e49d67859ebb7408,0.4,正向,true,codex,sentiment-v1
008e4df2d375533df13cd71fac87ff4580535ec3db004df3fb4f0c46b6999937,-0.4,負向,true,codex,sentiment-v1
008eb100a2225dfece7508782342e2e20312c51cc8e089f18ebf47ac80d618b7,0.0,中性,true,codex,sentiment-v1
008f587df1241c92c416b330e1e3a2d33cebdcb97120d0fa633700dc1208c7a7,0.4,正向,true,codex,sentiment-v1
008fb060b2b584593885e5b24d62924b617136f5d7b97c9e0f199eb28cbbbe25,0.2,正向,true,codex,sentiment-v1
0090802b68999815970b95cd8c7af51fe707df7fd984f0c566e4608f5fc35c6a,0.9,正向,true,codex,sentiment-v1
00931b56041e764fc1a3f7ba39bc6a402d6dd9e3e868eb127b77cfadb1cd46cb,,中性,false,codex,sentiment-v1
0095515575845e9a921754d13093a1f13cb2bd8c31a60bc1bc5e89d3c01e0e98,0.3,正向,true,codex,sentiment-v1
0095fd9efa3096e8ace5a02d0d640380480879ca57014b51739aa5148d0e3ef8,0.5,正向,true,codex,sentiment-v1
0098d3c21baea9eeaaed7e6dab9dd34cfb35d1c0e9f0cede7ae4ed60e45e4549,0.7,正向,true,codex,sentiment-v1
009a32dc15f0d9cde94adcb4b1e0b985fe5ea6e2156dd54e7d48a144e05dbb44,-0.8,負向,true,codex,sentiment-v1
009abb1b8bf13a0e7b65ac40a9b1f284ca6601a244c52545d72c522e2e93967b,-0.65,負向,true,codex,sentiment-v1
009dd3a1b4654e4b76f372e35451397992e02e6d2ffc72373eccd1cc526faf80,0.0,中性,true,codex,sentiment-v1
009e1788bd3d6f36fd6379da80d441dcbe4cdddb5b3959d13adb1dd3cd67eff4,0.2,正向,true,codex,sentiment-v1
00a0475971dd00ae1654714dbbc4e56243b36198b7717de0c6583136398f80c0,,中性,false,codex,sentiment-v1
00a0d4e0a1f78fc3fc1edfd658a1cdcc57a6684ce6a10a2e1d2e8ede5ec995e9,0.7,正向,true,codex,sentiment-v1
00a0df0dc8fb0af1cc320c9812368a427a74239e9b794a9201f680e1f6a00bef,0.0,中性,true,codex,sentiment-v1
00a16f8253d2432e917936640470d997c1e2b37b0678edf844a37044fb452335,0.6,正向,true,codex,sentiment-v1
00a1e4d9858b3f7599d3e5edeccd7f1920fc9be43539f4be62716d363a54e396,-0.55,負向,true,codex,sentiment-v1
00a47726e6f5abe6683cbb0b778c421f1178fa6169bdb520fe5b465d0f6ed8dd,0.3,正向,true,codex,sentiment-v1
00a4c594d16331781b320744804286c9b9e8b6ba95a583eb779565d3df618952,,中性,false,codex,sentiment-v1
00a5c464efb3371a83b1cd46e9d3ee78757f713cd49ac5e57ad8455bba7a383f,,中性,false,codex,sentiment-v1
00abc7a6c7c5d9e32618b87d20763eb3d2b958579a8bde0207777ea4d449acc9,,中性,false,codex,sentiment-v1
00ae1e124fc5c1c6319c4893eba7f72fb22e39e82eb912c389746cb314861a01,0.4,正向,true,codex,sentiment-v1
00af83e4f3e33d46317f65da5dc14632a85b9a3ab7228c5d35c97073086d1acf,,中性,false,codex,sentiment-v1
00b0c5c90120cb6c7e3384ff6637d6626135bbee55d355032c1edd98de6fdfb8,-0.55,負向,true,codex,sentiment-v1
00b2321fa7e244814929a25ebf5df95f182fb24b04783cffd7810b8db8514618,,中性,false,codex,sentiment-v1
00b7d9772038b8028c0722281fa06ebc865467977c8b25545add43d60c5c2a8b,0.7,正向,true,codex,sentiment-v1
00b8bd690757f6415980d79e72ea9d36d71694d8b50b85f91feade765c8fa0b0,-0.7,負向,true,codex,sentiment-v1
00b9c683a5b45d739bfbdd4aa2f923ba936efa857eed551282849cf502cbcf63,0.6,正向,true,codex,sentiment-v1
00ba923712463d1115f1b31d888126d02b16098b290dffbf712d73b0f22a03b3,0.0,中性,true,codex,sentiment-v1
00bb2f12b67e9e0e129933b9af18260e41b5c9cf0be2dea53b0c133970918ca6,0.7,正向,true,codex,sentiment-v1
00bd0707477e7a1c5f74a64bbd4e089a527722dae5d508658c86d972f792692a,-0.3,負向,true,codex,sentiment-v1
00bd07faee0ec82ef44aeace768000128d381402edd1d45d60afe1ef86b81eba,-0.4,負向,true,codex,sentiment-v1
00c01dfba4f2201fd46e283c2861632ce37a20dfba3353fe62600c74db5043a3,,中性,false,codex,sentiment-v1
00c078deb690233aa832bda30ebcfc4248ceadd28928e3d2681b0a05e1ccffe5,-0.7,負向,true,codex,sentiment-v1
00c5f07d10d6454f2b7d4729bb2db3b29837e837be8278d83be73811ad92fd1b,,中性,false,codex,sentiment-v1
00c6012f50ecf0368e3a741fb3fa3bc2e9078cf1364db5f6091c74e545c0df94,-0.6,負向,true,codex,sentiment-v1
00c7a77dc68666913dadbb9cf49710a137b4168581944ee4d33e078fb746217f,-0.3,負向,true,codex,sentiment-v1
00cc73e429ae7601f84063010ae41a35c71577ba66c5b08affb66ddff9efad4b,,中性,false,codex,sentiment-v1
00ccfa707dae35e86bdb6921fa90f0be252ef4738ff33d991192513e642b8ebd,0.7,正向,true,codex,sentiment-v1
00cd6b51de50496dd47e48ca4631c591674ff740cb62499226f1050fbac0bdc7,0.5,正向,true,codex,sentiment-v1
00cf3d91adca62acbc42a66ca4cdea4ba2b93765587444eeb9851a47aefeacc4,0.0,中性,true,codex,sentiment-v1
00d06fb61ca8713a50e84d537f71aca47a4bbd9d6ebed249e5e5e943e1d55bbd,-0.5,負向,true,codex,sentiment-v1
00d333b9568e6457b605f6abf38ec7365416663258280060c57c2b8cfa90d33a,0.8,正向,true,codex,sentiment-v1
00d3b801fbf2aec7a7a84f012f0653daebc7e8c2edf044698c407f7b41222177,-0.5,負向,true,codex,sentiment-v1
00d8c4b0f72c39eeaa71b56745d42f1a191686169e51b5d8957ef8a86d6b13a6,0.8,正向,true,codex,sentiment-v1
00d928246fee3a745bfdb237763e3fc2e7932d98985895f906334abff68066ff,-0.55,負向,true,codex,sentiment-v1
00dc271e4229e52c98eb4c0cc2ead1d32118f88701ddfc66362c50fe8e776fa5,,中性,false,codex,sentiment-v1
00dcaa9fab1ae4749c63de61c2705045cd376c299363e37e1b71cb9a6fac2063,0.0,中性,true,codex,sentiment-v1
00debdaa74f66d10d31753fb97d016fab4342c19df78a16639cd894ffc0ebde8,-0.4,負向,true,codex,sentiment-v1
00dfaeb51970678ddec7fdbaa8aed099b7e4807b436ea304e85d374dd08e8064,,中性,false,codex,sentiment-v1
00e0904654845191091975ab58b69bdb78ad38e6b25d5221531a3afb06fc2fc1,-0.5,負向,true,codex,sentiment-v1
00e18a5d0be39475c533bf12de0638db93d6bab456c1049f5bc400052658a7d1,,中性,false,codex,sentiment-v1
00e23351e784ca43460c0c077b08b355315104ada5846bc8acaae45ec521e9c4,0.8,正向,true,codex,sentiment-v1
00e38d109043ff2d45e7230c3cc7e50828590d8ac484352e3d01d63c1bb36c78,-0.6,負向,true,codex,sentiment-v1
00e3b00cd15305ab818ad0d750ac83ebc763ed137c392fd9ba900c06c168cdcd,-0.5,負向,true,codex,sentiment-v1
00e54521b16ed6239e8a36c913fc6e089b3ab03e7ffc68bd21d55e9c66ed0fbf,,中性,false,codex,sentiment-v1
00e66bdb423334539da5d37a75db6d6682cc5601bd9bed3d14106b4dbe04b3f2,-0.4,負向,true,codex,sentiment-v1
00e6df61ebd3cae653dfb396ffc537264cde554bb9260fca9881001731224c03,,中性,false,codex,sentiment-v1
00ec5a861dbcaf78e9928da2d8dab583e7afc0156275e1642dceb5f654fccafc,,中性,false,codex,sentiment-v1
00edf6f4ccbf6ef3a2b12aa7388c6318ff5fbc0156baa6139bb4936959592a6b,-0.5,負向,true,codex,sentiment-v1
00ee298d3d4d1eee7c2b3d524caeb69e7c842c5b2e274f82fe52159eef6f1006,-0.6,負向,true,codex,sentiment-v1
00ee30948f96dcb89fdd069ccfbeabb1742f5ff8ca775312fe6b29b0145f0a07,,中性,false,codex,sentiment-v1
00eea661d60ca927e2955071f21f4112e2c38dae51267073a84e663d7b6b98b1,,中性,false,codex,sentiment-v1
00ef44b8cad4cd3307c728ceb876680ff750cc1d22e064de8ffaa62d15965265,0.5,正向,true,codex,sentiment-v1
00f0e6305f1c76d540f5c877695bdb080223f46edf0c4198cc4c7257cc3c3f06,-0.5,負向,true,codex,sentiment-v1
00f440a2ba796cc00651d912395295d36b85b96808eb409d224c81616cf7ddb5,-0.4,負向,true,codex,sentiment-v1
00f4b84d4ff3a3eaf638ccc7368c19ba2dad6798063157f1559182f4e714c95f,,中性,false,codex,sentiment-v1
00f4c078d4d554bf3d19fe203effb333976fe9528ce0cdb1fd6f8df7f5d753e3,-0.5,負向,true,codex,sentiment-v1
00f63474033e456f9590e775460de4d35afc863f51818e0f49b2ca5b05f7539b,-0.9,負向,true,codex,sentiment-v1
00f6488ff213bb76480cbd97a30b8f2e05a8586c572a4d2ea088a90cbaf459de,0.5,正向,true,codex,sentiment-v1
00fb9d746f12a597c95cc34d8b4c7321f89fe780ed40e25c73a4862f4f4b80d3,,中性,false,codex,sentiment-v1
00fc5302cd4f33abc8935e1d9cf80f5b2b32f1738e1bd39e361da4a51cba9c3c,,中性,false,codex,sentiment-v1
00fe972226e28b48f76265be4b7a2f1b69c819b8e5c66c94d6d1d473cabc1616,0.7,正向,true,codex,sentiment-v1
0101be0e06bae0d10070e0b1fa39d1b1f630b6cf47ebb01a2eaf609c1c60afd1,0.4,正向,true,codex,sentiment-v1
01030186ad64897b0d012cd1184deaefe61e68eed174b95618e26d705138d6c7,,中性,false,codex,sentiment-v1
0103434638954817ebcd672fc862fbaffb742e6c01155adbb888d36aa03112a3,-0.4,負向,true,codex,sentiment-v1
01056daa7d5cafe77a58198e65f9975d6c64746b8910e234a607dd970ed7b95c,0.5,正向,true,codex,sentiment-v1
01066078dba0be12584d13d90a4a34b6a62bc1b2ccc91e5045ffdef6f2cdbd97,-0.5,負向,true,codex,sentiment-v1
0109ca783aba2d0eb55fc296f3969e6cb01d05f070bdc2c7cc5124412137bb49,0.3,正向,true,codex,sentiment-v1
010a4deab4fedb050fd0efc13eed38b036a3645fca918fde2237b123c8787e79,-0.3,負向,true,codex,sentiment-v1
010d3024fb3f1803028029855a86123ebae053d5d9a0283816478d869d415e85,0.7,正向,true,codex,sentiment-v1
010e15b9689c6b18803e747656407a8386005307fcba36608d4bd0754ee37cf0,,中性,false,codex,sentiment-v1
010eeafe75937ec1505b5130c011b340b98ef775671c5f75aab7979668facd70,-0.5,負向,true,codex,sentiment-v1
011242d5f7ead5916840d79424fe154ed84100cf1421d9e5846628781f0d85aa,-0.5,負向,true,codex,sentiment-v1
0113642e3ea42b9347328010121d705ff4093a181202f6f5221a85f42317458a,0.1,中性,true,codex,sentiment-v1
0118d8fb914664d1bb7e062b0fa6c3954f70e1cd687c1672ff2c6e92c1cf0bfb,0.0,中性,true,codex,sentiment-v1
011df78fb36e4cfd716550c953eb903277cf1a7be2f844c5d5edc626929038a1,-0.4,負向,true,codex,sentiment-v1
01204e6e1a6edf07eefd727757f76bbeedf979293fbaae599be056b9575cc17e,,中性,false,codex,sentiment-v1
0120bc51f0d87f637cd2ebc1b963f175ec3ac30525e33fb5aba9c032c7ca0768,0.1,中性,true,codex,sentiment-v1
0120bed3b9665cbfc90d3be0e3682492cf67e84413a16cb28cabb18b1b197baa,-0.3,負向,true,codex,sentiment-v1
01214879147cd3392c50b735b0067c7a49ef48d3230f6890ec4c20a75d938888,,中性,false,codex,sentiment-v1
0122a89a524863e9d7b26d155ff1ac3b3ab7952d03c0a2aa60342f415477e04d,-0.25,負向,true,codex,sentiment-v1
0122e6eb92f0fa61f2ced711053953baffbc3a7fd9ae849c772c809095afefc7,-0.4,負向,true,codex,sentiment-v1
01234542e949ea8463ce372ae7bcb7a59b7e2433b7f1ac3358170cf3d1cced86,,中性,false,codex,sentiment-v1
0123e5a45152e64862e5796c6b99fe2c97afb56b096386604d82c17bc269633b,-0.5,負向,true,codex,sentiment-v1
012438ee1cc122acabc91c121e46700e2f75cf07c23cc8fbc2b9225a267dad0e,-0.65,負向,true,codex,sentiment-v1
012abd93c2257d29e9c2cdf119cb79776bee41f57b85e85f6e325cbb00452b32,0.3,正向,true,codex,sentiment-v1
012b07353aadfa40c2d4cce98fdd056d59677663152b5e970355ba8272d9950d,-0.4,負向,true,codex,sentiment-v1
012b54a8d778cb85df260690d799852cdbf3af2e74d64b8e43694d8b9645ddfb,-0.3,負向,true,codex,sentiment-v1
012ef1a8e00d3d15b99ad25a13cf104268123decbaf8853e2fc5753f74793e90,0.0,中性,true,codex,sentiment-v1
012f62ae9993eb151dcff41e0be2c8809aeeb6860b3557866820e4be72454e9d,-0.7,負向,true,codex,sentiment-v1
0131ec86477b1209ca783b8199b175dc8ecc9dea877d3b6be4a52ca0dc5d1df8,,中性,false,codex,sentiment-v1
01323721c4474f16bdee86d82655901cf26d130a743ebc42c9dc33f46a11d7a6,-0.3,負向,true,codex,sentiment-v1
01335ae274c299896d35fbe1cc8b67d8dc1f40172e278a42d91f507906ef8e9d,0.0,中性,true,codex,sentiment-v1
01340e98c5ae4eec1074ee8d348ccc1fc7b643a58fdaaf5e277f8631e7044e71,-0.8,負向,true,codex,sentiment-v1
013440dd4d29c8b767d083421f694f4d547fc591511a203f103a84f397be2e39,0.5,正向,true,codex,sentiment-v1
013508fabb3f2d28123c71e3b26e5c29c1486b5bedf13e9d3368a03cf6836cc0,-0.6,負向,true,codex,sentiment-v1
013aac2dc3fd1289b0ce868597339566ee0634b19d31f5346e91ac1effd4378a,0.0,中性,true,codex,sentiment-v1
013abfbd5cc7cee4c2384ec7399c871c12041aba88053ea6db5ae93563317fce,,中性,false,codex,sentiment-v1
013b44030e7bb8f7268ffe1e879667bf2496390f2f72e13bc659441004dabd1b,-0.6,負向,true,codex,sentiment-v1
013bee33be8a21ab36b4d10fc165d12a21172303a54b8190e0e5a39e3b3b55a9,0.7,正向,true,codex,sentiment-v1
0140b577e4f9b640d6e3d3930a374e2a53a59d1a9ef0153814431b1bfd4d57df,,中性,false,codex,sentiment-v1
01429a2915751ca5f79adee1b9c3f96e5e5c71626786bc96fad09d85faa2a2b0,-0.4,負向,true,codex,sentiment-v1
0146e381703492ee050260670f21210f12cc1f80152f9d25f302d56f61f72627,0.5,正向,true,codex,sentiment-v1
01483375d86d2258050e54f841e549203ea8836da15384517836746df7b724da,0.8,正向,true,codex,sentiment-v1
0148533eaaa8c5094250f64a8d72d88644a013b44fb6c2879696b1c3ef7a93b7,,中性,false,codex,sentiment-v1
014bcfa3e3a83d8ee2d9f60974d4441b5277ed114768689078a864a2e00f6092,-0.8,負向,true,codex,sentiment-v1
014bfb4a919b1e57b0bfc6566b1fed77fb91d631d19749f9b2dcd497dc002288,0.7,正向,true,codex,sentiment-v1
014d017f094876b9c31b78fe8bb8ef730918a2ee3eb87153003dcfdd03e474a7,0.3,正向,true,codex,sentiment-v1
014d5b41738eae5e9532045114bb2401bc96dae21087a002ec4e178095cfc0f0,,中性,false,codex,sentiment-v1
014d77165ab0dc417da8a829ff0d0813362d96d3799eb61694c3a1f7c206983d,,中性,false,codex,sentiment-v1
014ddf792853986df1cbcba282a189cc84ef72280aa0d52982d139880b4e4d90,,中性,false,codex,sentiment-v1
014e548b8b7d6f50649156eee15f80098b57479334cabc3db729979a3c73035f,0.3,正向,true,codex,sentiment-v1
014e7315eb74f6bb0756cccb2eefb7b01d25a96730e0dd7170184dea3035b218,,中性,false,codex,sentiment-v1
0150e2b3586cc8d3b8a3f9d31b41690d19ef267589d63c5d13e4fbcb68430d1b,,中性,false,codex,sentiment-v1
015282690375ec2ea35dffc3e8f56382ef87499fb113b1d0e50d86cad4b1693f,0.4,正向,true,codex,sentiment-v1
0154b971436db489d3992ef864b3e529452c96b7b04da07d14cb48a5c0b09e32,0.4,正向,true,codex,sentiment-v1
01564a4762ac17645b3e535ef1995d9256289f1b27206f17090c430e7563dfb6,0.5,正向,true,codex,sentiment-v1
015839444dc8e8ac29a9bcd6b54d70394d9f51ce13359822e152d09ec6e814d4,,中性,false,codex,sentiment-v1
0158dc86556d3ce026bd6eae153de9a2ed18dad16f373072f1e1fee5b157e3b6,0.0,中性,true,codex,sentiment-v1
01599793783656e6d3d06408876f9b6266eb5a4439afd2ae88a4e84fc8fe86a5,0.6,正向,true,codex,sentiment-v1
015a39864f1b1572cb14f0c090284fcfa5996efa8ace5c8442cdc33e6a63fdf2,-0.5,負向,true,codex,sentiment-v1
015e7cf6c3225bce288cc98790f70d4d9be50598f5370b49ca77ad8ca06cdec0,,中性,false,codex,sentiment-v1
0160351ebd05543e73c9d6716eea597904251ae409f9a4010b28e9411d867b50,,中性,false,codex,sentiment-v1
01606ad21591f86f077659b139fbfafde01c7d23b1567bd4601bbd8b11b13c36,,中性,false,codex,sentiment-v1
01620d42df179576cc53eaa55bfe2539b44f58c13c004b4ce50cf5762597b9d5,-0.6,負向,true,codex,sentiment-v1
0165300ac6e1854281d93fb06c119fac4ef33aa60f1afa9fe4066b4a7ac6193e,0.5,正向,true,codex,sentiment-v1
01697c9f10e7dbb2356ceec315ad58fcc668f9a61817f7b54cab4160bf57c187,0.4,正向,true,codex,sentiment-v1
016b4eb8b4eff22c49657443dbd285147aefa4a29fb876458c419aee0f2a8352,0.3,正向,true,codex,sentiment-v1
016e096e8b4da61eda5190ffe9aee62aa6b3cc2a86404278d6498f6ea1d329a8,0.6,正向,true,codex,sentiment-v1
017089b77b335189ab789e624338e617e0d078f1f2de5f63931744c240c98952,-0.8,負向,true,codex,sentiment-v1
017139f3fe4ef96e38366a8de7f0470ebba6f3dce797cfe0b0ccdcf672178db3,,中性,false,codex,sentiment-v1
