留言內容,llm分數,llm判定
好像有鮑魚的肉粽,0.0,中性
"飯軟軟糊糊的,完全不像肉粽,也不像飯糰...不會再買",-0.8,負向
軟軟糊糊的要看仿得是哪裡的粽.......,0.0,中性
鮑魚海鮮粽還可以,0.0,中性
"他軟軟糊糊也不是像南部粽或潮州粽那種,那種口感軟糯但是成型,飯糰正常也要成型的,這個是打開後很容易散掉癱軟,像是油太多導致難以成型,不像肉粽也不像飯糰+1",-0.7,負向
"吃起來普普,這價位不如買別的口味",-0.4,負向
這是一般的米吧,0.0,中性
這連油飯都不是...,-0.4,負向
謝謝分享,0.0,中性
"超容易散掉,才不是肉粽",-0.6,負向
看起來像三角形滷肉飯,0.0,中性
這連3D油飯都不算,-0.4,負向
"三角形滷肉飯,這形容挺貼切的XD",0.0,中性
昨天看到打折猶豫了一下沒買..,0.0,中性
這款不是出好幾個月了嗎,0.0,中性
我記得這很久了,0.0,中性
這好吃,0.7,正向
"喜歡吃菠蘿麵包的話,應該還是可以試試看,整體看起來好像還蠻好吃的,去全家有看到會買來吃",0.3,正向
"看到這篇文好奇買來試,很好吃欸!可可味沒有很明顯但整體滿協調的以前在架上看到都沒啥興趣,真是相見恨晚",0.8,正向
包裝跟賣相不吸引人但其實不錯吃,0.5,正向
全家熱量表都是歡樂表,0.0,中性
這還不錯欸,0.5,正向
烤過再吃會不會也不錯,0.2,中性
特地用了蛋蛋二個字結果只有1/6片蛋,-0.4,負向
看了沒胃口...,-0.5,負向
味道還不錯 也是領券買的,0.5,正向
那碗醬汁不加 味道也夠,0.3,正向
"今天剛買,可以。還蠻好吃,只是菜有點苦苦的。",0.6,正向
這包裝上的名字看的很頭痛,-0.1,中性
領券買的好吃~但蛋至少給各半顆吧= =;,0.3,正向
標題,0.0,中性
同集團結果弄得不像也是呵呵,-0.2,中性
聯名還是會想買來喝喝看,0.2,中性
敲碗大戶屋/ikkigai聯名,0.0,中性
就很一般,-0.1,中性
兩款聯名味道都很糟......,-0.8,負向
本來想買這款但架上只有西瓜烏龍,0.0,中性
在餐廳喝到覺得超好喝 竟然有出利樂包,0.3,正向
"買西瓜烏龍也是非常失望,沒有茶味https://i.imgur.com/72CEtm3.jpeg",0.0,中性
茶味不重 西瓜味比較明顯,0.0,中性
完了 各買一瓶結果西瓜倒掉 看來這瓶下場差不多了,-0.3,負向
冰到夠冰會不會比較好喝?,0.0,中性
兩罐都買了 西瓜烏龍我喝起來感覺很像青草茶超好笑,0.0,中性
像青草茶這麼特別 感覺要買來試試看了,0.0,中性
西瓜烏龍超難喝 直接倒掉,0.0,中性
"超難喝,味道跟我家的雷達蟑螂螞蟻藥一樣味道",-0.9,負向
跟樓上同感 一入口有些柚子香氣 喝下去後尾韻有像柑橘類香精的味道 跟雷達很像,-0.8,負向
抹茶加紅豆 負評,-0.6,負向
抹茶+紅豆有毒?=,0.0,中性
"抹茶加紅豆一直都是中規中矩,有路過看到可以試試看不會特別買來吃,謝謝分享",0.1,中性
抹茶紅豆加牛奶更毒 嘔,-0.8,負向
覺得普,-0.1,中性
笑鼠不爽別吃齁反應別如此激烈~想吐建議去看醫生呵呵!XD,0.0,中性
抹茶+紅豆不是標配嗎 京都一堆抹茶+紅豆甜點,0.3,正向
"抹茶紅豆就宇治金時啊,經典款,標配版,正宗款,抹茶就是要搭紅豆",0.4,正向
2月的庫存怎麼這麼多,0.0,中性
"常買,好吃",0.8,正向
這截圖...不如不要...都陰影 以為藝術嗎,0.0,中性
再加蔥蛋更好吃XD,0.3,正向
不錯吃,0.6,正向
謝謝lmc大 加碼分享,0.0,中性
好吃,0.8,正向
這款不錯,0.5,正向
文藝復興!鮮果水,0.1,中性
甜味劑,-0.2,中性
都加了蔗糖為什麼還要加甜味素啊?,-0.2,中性
香料水,-0.4,負向
果漾 時代的眼淚,0.0,中性
多重甜感,-0.1,中性
甜味劑不會計入糖和熱量 壓低營養標示讓它看起來健康點(?,0.0,中性
有人還記得10幾年前徐若瑄代言的蜜桃水嗎,0.0,中性
看到第一個感想同三樓。超討厭甜味劑,-0.4,負向
真的是小時候的飲料,0.0,中性
看推文長知識,0.0,中性
"都要用甜味劑了,為什麼還要用蔗糖??",-0.2,中性
沒想到連飲料也會走復古風,0.1,中性
"都要用甜味劑了,為什麼還要用蔗糖 +1大概一半的蔗糖改用代糖代替 走中庸路線不曉得會不會 蔗糖派和代糖派 兩邊都不討喜",-0.2,中性
哇這是十五六年前的飲料了吧,0.1,中性
好懷念,0.3,正向
以前泰山鮮果純水很愛喝,0.0,中性
5F 對耶 果漾,0.0,中性
這明明很甜 不喜歡太甜的才不愛,-0.3,負向
"全部都用甜味劑味道可能會太人工,連木舌都喝得出來的那種",0.0,中性
不知道前幾年泰山的草莓鮮果水會不會復刻...還有檸檬的,0.0,中性
日本也有葡萄水 沒蔗糖 味道很ok好喝這款就....樂法的我覺得蔗糖都加很多,-0.4,負向
我也想到鮮果純水,0.0,中性
至少20年以上了吧XD小時候很愛買水蜜桃的,0.3,正向
"之前就復刻過鮮果純水了吧我記得,就沒人要喝又停產啊",-0.1,中性
二十多年前的飲料,0.0,中性
果漾 怎漾都行記得有品給我上行錯字拍謝有水蜜桃、白葡萄都很好喝鮮果純水也不錯,0.2,中性
想念泰山鮮果純水,0.0,中性
"香港的盒飯就是肉加兩片青菜,這樣算很港式吧",0.0,中性
i珍食比原價還貴 幫QQ,-0.3,負向
那是評分,0.0,中性
上面感覺可以截圖當簽名檔,0.0,中性
很可以阿,0.5,正向
評分看成價錢蠻好笑的,0.0,中性
so poor...,0.0,中性
(′・ω・‵) 圖王之前那樣評分我也看錯他上面沒打價格,0.0,中性
香港盒飯的肉有這麼少嗎阿不就很港式自以為,0.2,中性
好了啦吃超商就賣方便的還要求品質GGYY毛ㄧ堆?有夠可笑=,0.0,中性
"就老是拿餐廳的標準來要求超商啊,好好笑",0.0,中性
好像到了統一超商這邊 標準就會訂特別高,0.0,中性
會在超商吃港式 才是鬧吧 燒臘店不算少了一百的東西 是要幾片肉來爽?,0.0,中性
我以為你要註記價格?,0.0,中性
"這是跟潮粵坊合作的,不是一般燒臘,人家一份叉燒就要$780",0.0,中性
(′・ω・‵) 哥 價格在上面 不是評分那裡難怪別人會看錯,0.0,中性
吃一次就夠了,-0.4,負向
這種水果咖啡都算飲料~很甜沒咖啡味也不意外,-0.3,負向
"連加牛奶的咖啡我也當飲料,不當咖啡還是可以享受",0.2,中性
"不過喝到現在,萊的檸檬咖啡是我喝過最好喝的了,但我之後應該會買其他飲料lol",0.3,正向
+檸檬那個可以 其他不要,0.5,正向
看到樂法我就會直接跳過不買,-0.4,負向
樂法飲料都很甜,-0.3,負向
所以這麵含咖啡因?,0.0,中性
這.....第一時間看名稱還以為打錯了什麼XD,0.0,中性
有點心動 但看評價滿普通的,-0.1,中性
不要玩食物,-0.3,負向
好像加進了奇怪的東西..,-0.1,中性
好奇怪,-0.2,中性
研發人員是不是吃義大利麵的時候不小心打翻咖啡了,-0.1,中性
好特別的口味 好奇會想吃吃看,0.2,中性
越是奇特的東西反倒很吸引我XD,0.3,正向
超級難吃 -1000分,-1.0,負向
"感覺蠻獵奇的口味,但不敢嘗試",-0.2,中性
晚餐剛吃 味道還可以 真的有咖啡味 烤雞蠻嫩的,0.5,正向
晚餐剛吃過 咖啡味明顯,0.2,中性
買一杯焦糖拿鐵淋上去會不會更濃,0.0,中性
希望青醬雞肉回歸6/11可領79元優惠券,-0.2,中性
"中午看連折價券都沒人領,可憐",-0.3,負向
"沒折多少,不如等七折",-0.1,中性
蠻特別的 但味道覺得不搭,-0.5,負向
妙不可言,0.1,中性
真的是咖啡味 但會覺得咖啡出現在這裡要幹嘛XD我想喜歡麻醬麵的人應該會喜歡這款,0.2,中性
讓我想到前兩天看到有人冰炫風加糖醋醬的獵奇吃法 現在食物真的都被玩壞了,-0.3,負向
感謝分享 我昨天去WG練完也想買 但我又看了一次名字叫做焦糖拿鐵...直接PASS,-0.3,負向
"又香又好吃,但香的很怪異就像是假如有新產品是黑糖珍珠奶茶香味滷肉飯",0.5,正向
"這個真的難吃,還讓我想起蔓越莓口味的可樂果,慘!",-0.9,負向
"用折價券買的,咖啡味算明顯,神奇的味道,但不會回購",-0.3,負向
奇怪的創意料理,-0.1,中性
進來前:幹嘛不打空格啊 進來後:乾這啥毀,-0.1,中性
第一次有我吃不完的義大利麵 剩3分之一就果斷放棄了,-0.9,負向
這款特價我昨天有吃 我只能說難怪特價,-0.7,負向
"我也好奇買來吃了,口味真的很怪,感覺不久就會下架了",-0.5,負向
進來前還以為是兩個產品....,0.0,中性
沒覺得難吃 不過普普通通 不會想回購 聞起來像咖啡糖,-0.1,中性
吃完特地回來留言 我給0分,-1.0,負向
樓上辛苦你了,0.0,中性
哈哈哈哈我滿喜歡的欸吃了好幾次,0.7,正向
"剛剛吃了覺得焦糖甜味很重!平常喜歡吃甜的、也喜歡吃怪食物的我,覺得除非架上沒東西不然不太會拿第二次XDDD",-0.5,負向
"剛吃完,榮登全家最難吃的義大利麵",-1.0,負向
"呃...這不是我的菜,原以為會不錯,結果苦苦的超難吃,加辣也救不了",-0.9,負向
超難吃+1,-0.9,負向
看名字就會pass...,-0.3,負向
苦苦的不好吃,-0.7,負向
"覺得味道跟份量還可以,但是都是便宜的內容物",-0.1,中性
我覺得7-11冷凍櫃白種元那款比這更好吃,-0.3,負向
我覺得兩款都不錯欸,0.5,正向
現在物價88這樣算蠻多,0.4,正向
有骨頭嗎?,0.0,中性
這價格還有量不輸外面鹹酥雞攤了,0.5,正向
"現在外面一份50~60大概只有一半,這份量88很可以",0.6,正向
感覺不錯,0.3,正向
"外面現在一份60左右可能還比這一包的量少,兩份88可以昨天也有買來吃,真要說輸就微波炸物通病-外皮不會是現炸酥脆",0.5,正向
88....可以,0.4,正向
回2樓 沒骨頭,0.0,中性
兩包 88 偶會買欸 好像可以!,0.4,正向
"https://meee.com.tw/x3mCArv剛剛去買了,FOODOMO下單自取很方便",0.0,中性
兩包就能7分飽了 每塊都蠻大的,0.4,正向
這是組合肉嗎?,0.0,中性
"剛才去買來ㄘ了!在門市加熱的不是在家弄的只能說肉柴沒多汁,份量多算是ㄘ粗飽的在偶心目中分數大概 65 ,不會再回購 ...真心覺得御料小館的韓式炸雞跟鹽酥雞還比較好ㄘ ...QQ",-0.4,負向
韓式很碰運氣。運氣不好骨頭一堆,0.0,中性
吃就吃 到底是在ㄘ什麼,0.0,中性
ㄘㄘㄘㄘㄘ,0.0,中性
御料沒有六五折真的太少又貴,0.0,中性
前幾天御料小館鹹酥雞三包一百啊,0.0,中性
又濕又沒九層塔 超商鹹酥雞實在是不得已的選擇,-0.5,負向
用烤箱氣炸會好點,0.1,中性
"消失已久的注音文重現,真的好久沒見",0.0,中性
http://i.imgur.com/gww9T0a.jpg,0.0,中性
很懷疑這個熱量有這麼低的可能嗎,0.0,中性
"foodomo好像還有優惠卷,能壓到一包二十多",0.0,中性
請問盤中是幾包,0.0,中性
"韓式炸雞改版後走下神壇了,骨頭一堆,幹",0.0,中性
太鹹 不然放冷凍蠻方便的,-0.3,負向
昨天也吃了 覺得還好 輸給奶油培根跟什麼筆管麵,-0.2,中性
肉丸不重組也做不出來,0.0,中性
瑪格麗特那款超好吃的,0.0,中性
牛肉因為脂肪比較少 所以肉丸如果含有牛肉比例比較高 就會有所謂泥泥的感覺,0.0,中性
想太多 泥泥的就是丸子澱粉太多 肉多的話會粗粗的口感,0.0,中性
不喜歡這種肉丸含肉率低(澱粉比例高),-0.4,負向
普通,-0.1,中性
肉丸當然是重組肉吧,0.0,中性
搞不好有原肉肉丸啊(並沒有,0.0,中性
友善時光還可以啦 原價就會買其他的了講錯 i珍食才對,0.2,中性
這些小狗真的好可愛.....,0.0,中性
覺得不錯啊 份量可以味道夠濃厚 肉球口感也不會討厭 除了價格貴以外 友善時光的話會想回購,0.7,正向
吃了 很普 不會再吃第二次,-0.5,負向
醬還蠻多的 不考慮肉丸會給90分 麵本身好吃 但是肉丸好小喔,0.5,正向
"以前有款肉丸很好吃,可惜沒再出現",0.0,中性
看起來很膩,-0.2,中性
我覺得肉丸挺好吃的 如果醬是用肉醬就完美了 我很喜歡吃肉醬義大利麵,0.6,正向
肉丸好小,-0.3,負向
看起來跟以前的三福烤布丁很像仔細一看他就是三福的烤布丁#1a9QNrNR (CVS)[商品] 7-11 鮮奶烤布丁,0.0,中性
焦糖好多!,0.4,正向
覺得這個不好吃,-0.7,負向
同推不好吃,-0.7,負向
焦糖多很讚,0.5,正向
生布丁目前還有促銷嗎?,0.0,中性
"照片裡面的生乳你個布丁,還蠻好吃的",0.3,正向
覺得還行,0.2,中性
我覺得生乳布丁好膩,0.0,中性
"想吃生乳布丁,什麼是來送禮,現場直接買沒優惠?",0.0,中性
好奇生乳布丁跟烤布丁哪個好吃~,0.0,中性
https://i.verb.tw/NmmhhydW.jpg生乳布丁山,0.0,中性
焦糖買過一次覺得蠻難吃的 生乳好吃多了,-0.7,負向
生乳我都沒看到過QQ,0.0,中性
焦糖跟生乳到23特價2個60.,0.0,中性
昨天買的全聯生乳半月燒(四入)即期六折品35,0.0,中性
你也給太高分完全不知道哪來自信稱彰化名產,-0.6,負向
"彰化哪裡有這個,我以為是雲林",0.0,中性
感謝滅火,-0.5,負向
難吃到不行,-0.9,負向
友善還可 原價pass,-0.2,中性
好慘 謝避雷,-0.6,負向
"我剛買欸才看到這篇,希望老天保佑",0.0,中性
QQ,0.0,中性
"這口味和比利時巧克力搭,味道都被巧克力搶過去,不過可以紓解巧克力的甜膩。",0.3,正向
這次牛奶巧克力都好吃,0.7,正向
"偶會選牛奶單一就好不再選混合,會變成像巧克力雪糕完食後有點膩膩的",0.1,中性
"有霜淇淋還是不錯,雖然之前的9元已絕版",0.3,正向
單牛奶很不錯,0.6,正向
取件優惠有另一個是fmc衛生紙九元,0.0,中性
想問有拿包裹的人 券都多久入帳?謝謝,0.0,中性
"下午取,晚上開app就有了",0.0,中性
每次拿包裹店員都偷懶沒請我報 虧了XD,0.0,中性
這兩週都有給優惠券能領捏 ~ 不一定要領貨,0.0,中性
回r大 我中午領包裹 不到兩小時去看就有了,0.0,中性
這次搭巧克力好吃耶! 雖然沒什麼牛奶味了但把巧克力的味道襯托的更好吃了,0.7,正向
莊園牛奶還滿好吃的,0.6,正向
買一送一很可以 我也是領券去買 但我是吃巧克力口味,0.4,正向
牛奶味道不錯,0.5,正向
莊園牛奶和小農牛奶吃起來有什麼不一樣?,0.0,中性
好好喔有巧克力的 附近不是哈密哈就是配牛奶的發現有巧克力的了 原來是賛澤的喔 難怪比較好吃,0.5,正向
搭巧克力不錯,0.5,正向
巧克力+牛奶還行就安全牌,0.2,中性
我也有吃 味道還OK 但肉不多 沒配菜 價格貴我是搭飲料浴茶園有特價110,0.1,中性
"不好吃,很空虛,而且飯很油,昨天晚上才吃完不推。吃這個不如吃咖哩飯還比較滿足~~",-0.8,負向
不推 飯的味道有點淡,-0.6,負向
"份量少了點,肉沒幾塊,吃完真的小麻,喝飲料比較沒味道 :(",-0.4,負向
買過一次 沒想到整個飯都是那個味道 吃不習慣:p,-0.3,負向
/a/,0.0,中性
真的不推,-0.7,負向
試了一下味道 感覺像香精(?,-0.4,負向
滅火,-0.5,負向
"沒肉是有點空虛,香氣算滿明顯的",0.1,中性
看來全家毛利持續攀升,-0.2,中性
"胡椒味道重了點,米飯麻香還可以,好奇買來吃看看沒有沒有我想像中的麻,還OK",0.3,正向
我覺得味道還可以但是肉真的太少,0.1,中性
打折可以買 味道很單純 跟想像差不多 還不錯吃但原價是真的不行XD,0.4,正向
不錯吃的話想吃看看,0.2,中性
"味道是可以啦~但真的空虛,就幾塊雞肉和炒飯,沒了",-0.1,中性
我吃過 椒麻味道蠻特別的,0.3,正向
可惜沒有買炒畜生羊肉飯,0.0,中性
蠻好吃 友善時光的話不錯,0.5,正向
欸坐等某b跳針羊肉哥與超商研發出畜牲羊臊產品真期待!XD,0.0,中性
"最度濫全家涼麵,小黃瓜省成本直接灑在面上不吃小黃瓜的人連拿都不想拿 這公司企劃問題很大",-0.5,負向
原來現在涼麵都這麼貴了歐,-0.2,中性
畢竟是聯名的 多一方分潤,0.0,中性
我反而很討厭涼麵裡面還有一片塑膠擋配料,-0.1,中性
加一份生菜沙拉一起拌更清爽 也比較不鹹,0.4,正向
吃過以前版本還不錯,0.3,正向
沒有筍乾沒有蔥 這樣是日式聯名喔?哭,-0.4,負向
配料看起來還不錯 喜歡蛋皮絲,0.3,正向
今天看到友善時光我pass了,-0.2,中性
自己挑食說企劃問題很大wwww,0.0,中性
聯名要加錢 但同產品聯名拿掉繼續賣也不會降價啊,-0.1,中性
原來改版了 這幾天下班都去全家尋一下友善,0.0,中性
小黃瓜嘔嘔嘔,-0.4,負向
現在連放一片塑膠阻隔食材都要被當嫌棄的點了嗎,0.0,中性
太貴了,-0.4,負向
放塑膠片是為了美觀也兼顧食材防沾黏&衛生不用反應過度=,0.0,中性
七折要60,-0.1,中性
涼麵就是要小黃瓜!,0.2,中性
"原本想說好貴,但搜尋發現舊文2年前一樣的品項也是85元沒漲價,這樣感覺也沒那麼貴了",0.1,中性
兩年沒漲價 給推,0.3,正向
自己不吃小黃瓜扯到企劃問題真的蠻好笑的,0.0,中性
這款有吃過 還行,0.2,中性
這款胡麻味蠻清爽的 吃到最後不會膩,0.6,正向
"我印象比較鹹,不過打折價會想吃",0.2,中性
沒筍乾少了一味,-0.3,負向
"討厭小黃瓜,不能用沒氣味的櫛瓜嗎",-0.3,負向
放什麼料都會有人嫌啊~ lol,0.0,中性
好奇胡麻跟芝麻有什麼差別嗎?,0.0,中性
今天吃了 不錯,0.6,正向
還蠻好吃的,0.7,正向
味道還行比一般涼麵好吃 我給65分而且醬只有一包但上面很油 有點方便,0.4,正向
紙盒的超難喝,-0.8,負向
紙盒是光泉産https://i.imgur.com/fSViBPg.jpeg紙盒成分沒奶精,0.0,中性
紙盒的難喝到我倒掉,-0.9,負向
我好懷念boss的無糖奶茶,0.0,中性
紙盒真的很不行欸,-0.7,負向
紙盒的真的超難喝,-0.9,負向
確實 紙盒不好喝,-0.6,負向
欸不一樣喔? 我以為只是直接換寶特瓶,0.0,中性
有奶精粉你可以?!?!!,-0.3,負向
奶精有毒?某p整天住海邊?=,0.0,中性
滿滿的科技狠活,-0.4,負向
"紅茶粉的都不行,基本上就是化工奶茶",-0.6,負向
紙盒大雷!! 蕭拍拎,-0.9,負向
上次真的買紙盒超難喝 來滅火一下,-0.8,負向
紙盒奶茶真的難喝到靠北,-0.9,負向
奶精茶也在推...,-0.6,負向
用奶精犯法?某樓人生是有多不如意?不爽快去提告宏全呵呵,0.0,中性
紙盒難喝到靠杯,-0.9,負向
"喝起來有點像另一款老牌的阿薩姆奶茶,還可以。",0.3,正向
比紙盒好喝一點點,0.3,正向
看起來像是起司口味,0.0,中性
"你的冰淇淋也太多圈了吧,羨慕",0.3,正向
"聽說是哈密瓜? 滿期待的,找機會也要去試試看",0.3,正向
驚嘆號很多時候是兩種新舊料混合體,0.0,中性
清庫存裝神秘,-0.2,中性
個人經驗:擠比較多的都是男店員XD~,0.0,中性
看來這次哈蜜瓜口味還可以喔!還沒看到負評!,0.4,正向
給這麼多 有符合主題,0.2,中性
其實問店員都會說是什麼口味,0.0,中性
沒色素的哈密瓜?,0.0,中性
"我之前去買遇過女店員擠多,結果男店員在旁急著喊""夠了夠了~太多""",0.0,中性
"霜淇淋很直觀,小根又摳門不知道在省什麼",-0.3,負向
驚嘆口味=各店消庫存,-0.2,中性
這哈密瓜是年初那款嗎?,0.0,中性
夏天就是要吃冰啦 有新口味還是會想試一下,0.3,正向
像起司,0.0,中性
"就是年初跟贅沢巧克力一起出現的那款,很清爽,舒服~",0.5,正向
"台北市南海路的全家,看到女店員的,那次就寧可不買,下班時間晚上六點後的男店員才買,大小支差異非常大",0.0,中性
https://i.mopix.cc/23o1to.jpghttps://i.mopix.cc/Z5DobU.jpg,0.0,中性
今天去沒認真看牌子以為是泰奶吃的時候超困惑 怎是哈密瓜味吃起來是有瓜味的哈密瓜(X,0.3,正向
泰奶(X) 哈蜜瓜口味(O) 全家:意不意外?開不開心?呵呵~XD,0.0,中性
每間店的驚嘆號口味會一樣嗎?,0.0,中性
好喜歡樓主那句既然吃冰了就不要在乎熱量,0.0,中性
感覺像是為了清倉,-0.1,中性
今天吃是牛奶 各店不同吧,0.0,中性
昨天吃了一支完全不知道是什麼口味顏色也是淡淡的,0.0,中性
顏色好淡的冰,0.0,中性
